date,open,high,low,close,volume,symbol,source,download_timestamp_market,asset,adractcnt,feetotntv,txcnt,download_timestamp_onchain,sma_20,ema_20,rsi_14,macd,macd_signal,bb_upper,bb_lower,bb_width
2024-08-27,62840.09,63226.26,58025.49,59439.64,14195.89496578,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,685194,7.7773379,676465,2025-06-29 17:05:04.117435,60503.027500000004,61179.216180161406,44.942503256046734,41.056621176925546,-412.62827341669777,64425.835362722224,56580.21963727778,7845.615725444441
2024-08-28,59437.68,60236.98,57851.62,59045.88,10001.12169866,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,740845,7.74423375,721912,2025-06-29 17:05:04.117435,60370.042499999996,60976.04130586032,44.01499183500702,-145.10861028599174,-359.1243407905566,64301.08698604124,56438.99801395875,7862.088972082493
2024-08-29,59047.94,61194.09,58729.39,59364.47,10933.22040343,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,723280,8.19689202,525910,2025-06-29 17:05:04.117435,60295.159499999994,60822.55832434982,45.00395181672058,-263.89631459129305,-340.07873555070387,64242.87859911271,56347.44040088728,7895.438198225427
2024-08-30,59353.12,59929.63,57700.0,59112.77,9382.9124508,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,826297,7.9546598,548197,2025-06-29 17:05:04.117435,60204.047,60659.72134107841,44.33758287888969,-374.034871359363,-346.8699627124357,64172.54858484588,56235.54541515412,7937.003169691758
2024-08-31,59117.59,59446.99,58739.31,58968.37,1368.21775121,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,670825,6.4177164,695519,2025-06-29 17:05:04.117435,60216.341,60498.640260975706,43.93565341453757,-467.5823460766842,-371.01243938528546,64167.89481590537,56264.78718409463,7903.107631810737
2024-09-01,58968.37,59070.55,57200.0,57299.0,4411.05388122,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,660770,6.3825282,656333,2025-06-29 17:05:04.117435,60113.352,60193.912617073256,39.479873991294426,-668.7150701876744,-430.5529655457633,64251.88364199868,55974.82035800132,8277.063283997355
2024-09-02,57291.21,59423.0,57119.01,59139.83,4318.6544603,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,717673,7.69021658,739986,2025-06-29 17:05:04.117435,60040.183999999994,60093.52379639961,45.98514736363866,-671.8301666257685,-478.80840576176433,64193.205874560284,55887.1621254397,8306.043749120581
2024-09-03,59138.89,59825.7,57394.49,57468.84,8264.44971184,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,699302,8.42822766,592324,2025-06-29 17:05:04.117435,59979.094999999994,59843.55391102822,41.61259172452264,-799.9129325915055,-543.0293111277126,64244.15779228574,55714.03220771425,8530.125584571491
2024-09-04,57460.5,58531.25,55555.0,57971.0,13715.96171494,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,699461,7.74885958,728756,2025-06-29 17:05:04.117435,60000.4645,59665.215443311245,43.355709966309554,-851.0885135322824,-604.6411516086266,64220.54810921668,55780.38089078332,8440.167218433358
2024-09-05,57971.0,58326.12,55628.04,56156.82,12281.57828747,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,734546,10.81990512,714387,2025-06-29 17:05:04.117435,59863.85600000001,59331.082543948265,38.84387560878494,-1026.205239186369,-688.9539691241752,64385.15046456834,55342.561535431676,9042.588929136662
